,WAP013,WAP014,WAP023,WAP024,WAP027,WAP028,WAP029,WAP030,WAP031,WAP032,WAP033,WAP034,WAP035,WAP036,WAP039,WAP040,WAP041,WAP042,WAP043,WAP047,WAP048,WAP051,WAP052,WAP057,WAP058,WAP061,WAP062,WAP069,WAP070,WAP074,WAP077,WAP078,WAP081,WAP084,WAP085,WAP087,WAP098,WAP099,WAP132,WAP142,WAP143,WAP155,WAP156,WAP160,WAP161,WAP162,WAP224,WAP225,WAP248,WAP253,WAP268,WAP294,WAP303,WAP323,WAP360,WAP452,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP
29,-68,-68,-91,100,100,100,-66,-66,100,100,100,100,100,100,100,-97,-71,-71,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-65,-94,100,100,100,-80,100,-81,100,100,100,100,100,100,-7656.475560551486,4864938.297919574,2,0,0,0,0,2,1380877707
30,100,100,100,100,100,100,100,100,-78,-75,-57,-57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-88,-62,100,100,100,100,100,100,100,100,100,-7642.76498553336,4865005.025314617,1,0,0,0,0,13,1380877863
48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-96,100,100,-96,100,-97,100,100,-93,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,-7336.6486916792455,4864827.088141976,3,2,0,0,0,13,1381156603
50,100,100,-94,-93,100,100,100,100,100,100,100,100,100,100,-72,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-53,100,100,100,100,100,100,100,100,-90,-91,-90,100,100,100,100,100,100,100,100,100,100,100,100,-7680.015483977712,4864931.065329176,0,0,0,0,0,13,1379578603
51,-91,100,-90,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-78,100,-92,-90,100,-83,100,-85,100,100,100,100,100,100,-7644.886068185171,4864948.4765333515,1,0,0,0,0,13,1379578859
52,100,-95,-76,-76,100,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,100,100,100,100,100,-88,-88,100,100,100,100,-93,100,100,100,100,100,100,100,100,-7639.400494654406,4864912.977948216,0,0,0,0,0,13,1379579594
54,100,100,100,100,-77,-77,-96,100,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,-49,-50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-83,100,100,100,100,100,100,100,100,100,100,-7607.076600000262,4864977.691799998,0,0,0,0,0,13,1379579853
55,100,100,100,100,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-59,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,100,100,100,100,100,100,100,100,100,100,-7592.953184653679,4864984.236007656,0,0,0,0,0,13,1379579915
56,100,100,100,100,-93,-92,100,100,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,-72,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,100,100,100,100,100,100,100,100,100,100,-7588.941392697304,4864985.59057594,0,0,0,0,0,13,1379579958
57,100,100,100,100,-68,-69,100,100,100,100,-90,-93,100,100,100,100,100,100,100,100,100,100,100,-60,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,-79,100,100,100,100,100,100,100,100,100,-95,-7611.196229663149,4864981.685520957,0,0,0,0,0,13,1379580061
58,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-82,100,100,100,100,100,100,100,100,100,100,-7615.527718182752,4864981.658922777,0,0,0,0,0,13,1379580086
59,100,100,100,100,-75,-74,100,100,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,-89,100,100,100,100,100,100,100,-7592.090242046203,4864978.876426874,1,0,0,0,0,13,1379664374
60,100,100,100,100,-59,-60,100,100,100,-80,100,100,100,-84,100,100,100,100,100,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,-61,-60,-75,100,100,100,100,100,100,100,100,-81,-7616.359925877942,4864979.0953304125,1,0,0,0,0,0,1379664656
61,100,100,100,100,100,100,-94,-97,100,100,100,100,100,100,-55,-55,-89,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-97,100,100,100,100,100,100,100,100,-75,-76,-81,100,100,100,-94,100,-96,100,100,100,100,100,100,-7691.109200000763,4864927.525200002,1,0,0,0,0,13,1379578399
63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,100,100,100,100,100,100,100,100,-95,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,-7684.281834362428,4864931.868021294,0,0,0,0,0,13,1379578525
64,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,-73,-71,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,100,100,100,100,100,100,100,100,100,-87,-89,100,-95,100,100,100,100,-93,100,100,100,100,100,-7682.4556500022645,4864932.532900554,0,0,0,0,0,13,1379578561
65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-43,100,100,100,100,100,100,100,100,-89,-93,-80,100,100,100,100,100,100,-90,100,100,-85,100,100,-7676.89365321925,4864933.956469433,0,0,0,0,0,13,1379578656
66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-48,100,100,100,100,100,100,100,100,-88,-87,-86,100,100,100,100,100,100,-90,-94,100,100,100,100,-7675.647921577443,4864933.138781182,0,0,0,0,0,13,1379578686
67,100,100,-93,100,100,100,100,100,100,100,-93,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,-85,-91,-80,-80,100,100,100,-91,-80,-85,100,-85,100,-92,-7644.303846689731,4864948.781008801,1,0,0,0,0,13,1379578931
68,100,-80,-88,-87,100,100,100,100,100,100,-96,100,100,100,-88,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-62,100,100,100,100,100,100,100,100,-71,-71,-83,100,-94,100,-81,100,-84,100,100,100,100,100,100,-7656.996781229636,4864937.203835787,0,0,0,0,0,13,1379579299
69,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,100,100,100,100,100,100,100,100,-74,-73,-85,100,100,100,-86,100,-85,-84,100,100,100,100,100,-7662.306421416842,4864938.271965498,0,0,0,0,0,13,1379579319
70,-84,-85,-82,-87,100,100,-92,100,100,100,100,100,100,100,-86,-87,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-56,100,100,100,100,100,100,100,100,-65,-65,100,100,100,100,-78,100,-75,100,100,100,-86,100,100,-7662.447200000285,4864933.772100002,0,0,0,0,0,13,1379579332
71,100,100,-79,-79,100,100,100,100,100,100,100,100,100,100,-84,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-47,100,100,100,100,100,100,100,100,-74,-74,-80,100,100,100,-83,100,-85,100,-92,100,-96,100,100,-7667.543800000101,4864937.5546,0,0,0,0,0,13,1379579351
72,-80,-80,-88,-86,100,100,100,100,100,100,100,100,100,100,-86,-87,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,100,100,100,100,100,-77,-76,-86,100,100,100,-89,100,-89,100,100,100,100,100,100,-7643.697516999352,4864929.915111791,0,0,0,0,0,13,1379579415
73,-85,-88,100,-98,100,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,-76,-75,-98,100,100,100,-81,100,-85,100,100,100,100,100,100,-7643.322984119703,4864928.0865804665,0,0,0,0,0,13,1379579436
74,-71,-69,-88,-88,100,100,100,-93,100,100,100,100,100,100,-85,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,100,100,100,100,100,100,100,100,-68,-70,-89,100,100,100,-76,100,-80,100,100,100,100,100,100,-7646.636442218104,4864925.3634940665,0,0,0,0,0,13,1379579463
75,-85,-87,-80,-80,100,100,100,100,100,100,100,100,100,100,-81,-82,-92,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,100,-81,-80,100,100,100,100,-80,100,-80,100,100,100,100,100,100,-7641.563092752373,4864922.355058025,0,0,0,0,0,13,1379579490
76,-97,-93,-76,-75,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,-85,-86,100,100,100,100,-87,100,-88,100,100,100,100,100,100,-7641.010339187401,4864920.687008035,0,0,0,0,0,13,1379579547
77,-97,-93,-76,-75,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,-85,-86,100,100,100,100,-87,100,-88,100,100,100,100,100,100,-7640.030671486139,4864914.509352418,0,0,0,0,0,13,1379579565
78,100,100,-71,-72,100,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,-91,-91,100,100,100,100,100,100,-93,100,100,100,100,100,100,-7638.022660439881,4864903.078029073,0,0,0,0,0,13,1379579663
79,-76,-77,-88,100,100,100,100,100,100,100,100,100,100,100,-86,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,100,100,100,100,100,100,100,100,-63,-62,-90,100,100,100,-77,100,-83,100,100,100,100,100,100,-7646.314496976974,4864932.315575331,0,0,0,0,0,13,1379579708
80,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-62,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-70,-80,100,100,100,100,100,100,100,100,100,-7618.415899999441,4864974.441299997,0,0,0,0,0,13,1379579789
81,100,100,100,100,-76,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-85,-64,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-68,-82,100,100,100,100,100,100,100,100,100,-7616.645292489777,4864976.249028869,0,0,0,0,0,13,1379579819
82,100,100,100,100,-75,-74,100,100,100,100,-95,100,100,100,100,100,100,100,100,100,100,-90,-88,-51,-50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-77,100,100,100,100,100,100,100,100,100,100,-7605.248300001025,4864978.215899996,0,0,0,0,0,13,1379579870
83,100,100,100,100,-79,-80,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,-75,-73,-78,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-70,100,100,100,100,100,100,100,100,100,100,-7634.494454552613,4864983.8634788385,0,0,0,0,0,13,1379580140
84,100,100,100,100,-81,-79,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,-72,-73,-71,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-62,-79,100,100,100,100,100,100,100,100,100,-7632.282603512898,4864987.964218512,0,0,0,0,0,13,1379580162
86,100,100,-89,100,-57,-58,100,100,-78,-79,-64,-66,-81,-82,100,100,100,100,-93,100,100,-82,-81,-80,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-75,100,100,100,100,100,100,100,100,-73,-7619.012816854327,4864975.716718737,1,0,0,0,0,13,1379659141
87,100,100,100,100,-62,-61,100,100,-85,-81,-69,-70,-87,-87,100,100,100,100,100,100,100,-79,-79,-83,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,100,100,100,-71,-70,100,100,100,100,100,100,100,100,100,-79,-7616.700438645403,4864976.419893518,1,0,0,0,0,13,1379659168
88,100,100,100,100,-64,-63,100,100,-81,100,-86,-87,100,-93,100,100,100,100,-93,100,100,-84,-82,-84,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-66,-67,-87,100,100,100,100,100,100,100,100,-94,-7616.572262020362,4864979.5597085785,1,0,0,0,0,13,1379659206
89,100,100,100,100,-51,-50,100,-96,100,-87,-66,-67,-80,-84,100,100,100,100,100,100,100,-81,-80,-82,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-66,-65,-81,100,100,100,100,-96,100,100,100,100,-7610.8997999988505,4864976.934299998,1,0,0,0,0,13,1379659301
90,100,100,100,100,-66,-66,100,100,100,100,-75,-75,-80,-83,100,100,100,100,100,100,100,-91,-91,-79,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-73,-84,100,100,100,100,100,100,100,100,-88,-7609.209370158644,4864978.214045111,1,0,0,0,0,13,1379659330
91,100,100,100,100,-50,-50,100,100,100,-98,-85,-87,-63,-67,100,100,100,100,100,100,100,-89,-88,-63,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,-80,100,-91,100,100,100,-96,100,100,-95,100,-88,-7601.6940757922375,4864980.076671253,1,0,0,0,0,13,1379659466
92,100,100,100,100,-65,-65,100,100,100,100,100,-96,-77,-77,100,100,100,100,100,100,100,100,100,-85,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,-86,-89,100,100,-90,100,100,100,100,100,100,100,-7589.1794374418405,4864985.270665307,1,0,0,0,0,13,1379659617
93,100,100,100,100,-72,-74,100,100,-81,-80,-61,-60,100,100,100,100,100,100,100,100,100,-79,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-62,-50,100,100,100,-80,-80,100,-86,100,-49,-7637.922800000757,4864993.340800002,1,0,0,0,0,13,1379659756
94,100,100,100,100,-72,-73,100,-98,100,100,100,100,-75,-75,100,100,100,100,100,100,100,100,100,-86,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-98,100,100,100,100,-89,100,100,-90,100,100,100,100,100,100,100,-7594.034899998456,4864981.768399999,1,0,0,0,0,13,1379664350
95,100,100,100,100,-55,-55,100,100,100,100,100,100,-74,-74,100,100,100,100,100,100,100,100,100,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-74,-85,100,-87,100,100,100,100,100,100,-90,-7593.9219174451855,4864982.042042415,1,0,0,0,0,0,1379664537
96,100,100,100,100,-57,-57,100,100,100,100,100,100,-77,-75,100,100,100,100,100,100,100,100,-83,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,-64,-64,-88,100,100,100,100,100,100,100,100,-87,-7609.021200001241,4864977.4729999965,1,0,0,0,0,0,1379664635
98,100,100,100,100,-65,-67,100,100,100,100,-72,-72,100,100,100,100,100,100,100,100,100,100,-81,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,-61,-78,100,100,100,100,-95,100,100,100,-81,-7621.81523590075,4864976.104241047,1,0,0,0,0,0,1379664695
99,100,100,100,-87,100,100,-93,-93,100,100,100,100,100,100,-64,-63,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,-79,-79,-73,100,100,100,-89,100,-90,100,100,100,100,100,100,-7689.284200001508,4864928.0484,1,0,0,0,0,13,1379578367
100,-75,-76,-74,100,100,100,-85,-85,100,100,100,100,100,100,-60,-61,-75,-75,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,-76,100,100,100,100,100,100,100,100,-70,-68,-61,100,100,100,-68,100,-74,-85,-93,100,-81,100,100,-7662.306618734784,4864934.367151005,1,0,0,0,0,13,1379578784
101,-78,-77,-66,-69,100,100,-86,100,100,100,100,100,100,100,-57,-56,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,-57,-57,-55,100,100,100,-74,100,-73,100,100,100,100,100,100,-7661.817193896792,4864938.372547324,1,0,0,0,0,13,1379578808
102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-96,100,100,100,100,-89,-90,100,-93,100,100,-7637.083443955691,4864949.563191735,0,0,0,0,0,13,1379579014
103,100,100,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,-92,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,-7636.895626662628,4864905.422739686,0,0,0,0,0,13,1379579636
104,100,100,100,100,-88,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-98,100,100,100,100,100,100,100,100,100,100,-7592.562300000341,4864981.851999998,0,0,0,0,0,13,1379579888
105,100,100,100,100,-84,-82,100,100,100,100,-81,-76,100,100,100,100,100,100,100,100,100,-79,-79,-78,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-75,-71,100,100,100,100,100,100,100,100,-72,-7636.820696448656,4864991.646836817,0,0,0,0,0,13,1379580190
106,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-81,-74,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-76,-64,100,100,100,100,100,100,100,100,-67,-7638.193799998611,4864993.270599999,0,0,0,0,0,13,1379580208
107,100,100,100,100,100,100,100,100,100,100,-77,-77,100,100,100,100,100,100,100,100,100,-85,-91,-82,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-88,-73,100,100,100,100,100,100,100,100,100,-7639.109632882691,4864999.14264838,0,0,0,0,0,13,1379580239
108,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-77,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-88,-74,100,100,100,100,100,100,100,100,-83,-7638.01890505048,4865000.234367762,0,0,0,0,0,13,1379580257
109,100,100,100,100,100,100,100,100,100,-89,-74,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,-75,100,100,100,100,100,100,100,100,100,-7639.445598710654,4865001.2150628315,0,0,0,0,0,13,1379580285
110,100,100,100,100,100,100,100,100,-91,-84,-73,-74,100,100,100,100,100,100,100,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-89,100,100,100,100,100,100,100,100,100,100,-7640.842587442077,4865006.614612565,0,0,0,0,0,13,1379580313
111,100,100,100,100,100,100,100,100,100,100,-79,-78,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,-93,-7641.960914762188,4865008.769830658,0,0,0,0,0,13,1379580334
114,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-80,-96,100,-97,100,100,100,100,100,100,100,100,100,100,-7642.673226161187,4864947.685974667,1,0,0,0,0,13,1379580531
115,100,-72,-72,-71,100,100,100,-94,100,100,100,100,100,100,-76,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,-58,-58,-74,100,100,100,-81,100,-78,100,-94,100,-93,100,100,-7650.255975912342,4864937.119053964,1,0,0,0,0,13,1379580591
116,100,100,100,100,-66,-66,100,100,-81,-83,-88,-88,100,-93,100,100,100,100,100,100,100,-87,-88,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-97,100,100,100,100,-73,-73,100,100,100,100,100,100,100,100,100,-88,-7616.891914166611,4864979.161875267,1,0,0,0,0,13,1379659278
117,100,100,100,100,-45,-45,-97,-97,100,100,-73,-74,-74,-73,100,100,100,100,100,100,100,-89,-89,-64,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-92,100,-66,-67,100,100,100,100,100,100,100,100,100,-88,-7603.335900001228,4864979.1023999965,1,0,0,0,0,13,1379659397
118,100,100,100,100,-49,-50,100,100,100,100,-83,-82,-64,-75,100,100,100,100,100,100,100,-93,-91,-63,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,-80,-79,100,100,-95,100,100,100,100,100,100,-95,-7603.335900001228,4864979.1023999965,1,0,0,0,0,13,1379659405
